"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2022-07-04","Pått","Vaasa","69500","havaittu, yli määritysrajan","","14673","128253","20361"
"2022-06-27","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","","71240","116764","31070"
"2022-06-27","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","191913","529858","147349"
"2022-06-27","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","(a)","18088","117592","31263"
"2022-06-27","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","29821","459548","127862"
"2022-06-27","Koko maa","Koko maa","","","","","384786","107606"
"2022-06-27","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","a","19733","233175","53591"
"2022-06-27","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","12940","596176","162011"
"2022-06-27","Taskila","Oulu","200000","havaittu, yli määritysrajan","","39190","189930","56065"
"2022-06-27","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","a","18944","131475","27295"
"2022-06-27","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","a","10987","451696","126143"
"2022-06-27","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","58909","392602","113476"
"2022-06-27","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","47916","422416","120282"
"2022-06-27","Pått","Vaasa","69500","havaittu, yli määritysrajan","","12470","351110","98951"
"2022-06-20","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","","84755","421658",""
"2022-06-20","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","238816","413182",""
"2022-06-20","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","","18375","128959",""
"2022-06-20","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","24243","103775",""
"2022-06-20","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","37561","537815",""
"2022-06-20","Koko maa","Koko maa","","","","","354867",""
"2022-06-20","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","19788","26491",""
"2022-06-20","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","21292","310230",""
"2022-06-20","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","12884","101474",""
"2022-06-20","Taskila","Oulu","200000","havaittu, yli määritysrajan","","44855","191600",""
"2022-06-20","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","a","23761","15943","486"
"2022-06-20","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","71039","238840",""
"2022-06-20","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","56753","353454",""
"2022-06-20","Pått","Vaasa","69500","havaittu, yli määritysrajan","","14129","73644",""
"2022-06-13","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","b","88908","497837","13197"
"2022-06-13","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","240019","515580","13963"
"2022-06-13","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","","15058","279385","7949"
"2022-06-13","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","b","18993","79459","2118"
"2022-06-13","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","31734","436193","12829"
"2022-06-13","Koko maa","Koko maa","","","","","396448",""
"2022-06-13","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","","20106","74328","2565"
"2022-06-13","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15260","799173","18848"
"2022-06-13","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","17717","195179","5093"
"2022-06-13","Taskila","Oulu","200000","havaittu, yli määritysrajan","b","45745","78297","6363"
"2022-06-13","Alheda","Pietarsaari","30500","havaittu, yli määritysrajan","b","6418","12609","345"
"2022-06-13","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","b","23347","18284","559"
"2022-06-13","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","13633","313636","7739"
"2022-06-13","Seinäjoen keskuspuhdistamo","Seinäjoki","55000","havaittu, yli määritysrajan","","21348","132187","3028"
"2022-06-13","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","b c","67402","219916","11408"
"2022-06-13","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","55261","291863","8057"
"2022-06-13","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15266","126886","3954"
"2022-06-06","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","","101464","260432",""
"2022-06-06","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","305208","474006",""
"2022-06-06","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","b","18142","128264",""
"2022-06-06","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","(a) b","20047","196706",""
"2022-06-06","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","(a)","34326","407300",""
"2022-06-06","Koko maa","Koko maa","","","","","364405",""
"2022-06-06","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","27443","89477",""
"2022-06-06","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","22487","389556","9027"
"2022-06-06","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","b","16227","159429",""
"2022-06-06","Taskila","Oulu","200000","havaittu, yli määritysrajan","b","47224","127916",""
"2022-06-06","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","b","23437","74756",""
